TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,Latitude,Longitude,Location
178790,DPW Maintained,Prunus cerasifera :: Cherry Plum,717 Avalon Ave,1.0,Sidewalk: Curb side : Cutout,37.72506100995039,-122.426572388011,"(37.72506100995039, -122.426572388011)"
58839,DPW Maintained,Prunus domestica 'Mariposa' :: Mariposa Plum,2385 Broadway,1.0,Sidewalk: Curb side : Cutout,37.794032039392576,-122.43624546807696,"(37.794032039392576, -122.43624546807696)"
218005,DPW Maintained,Prunus cerasifera :: Cherry Plum,2555 18th Ave,5.0,Sidewalk: Curb side : Cutout,37.73973239784323,-122.47431526943544,"(37.73973239784323, -122.47431526943545)"
94782,Permitted Site,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,200X Loomis St,15.0,Sidewalk: Curb side : Cutout,37.74030399741697,-122.4060596358625,"(37.74030399741697, -122.4060596358625)"
236733,DPW Maintained,Prunus cerasifera :: Cherry Plum,2210 Castro St,2.0,Sidewalk: Curb side : Cutout,37.74388305505826,-122.43345959320396,"(37.74388305505826, -122.43345959320396)"
47906,DPW Maintained,Prunus cerasifera :: Cherry Plum,301 Lyon St,1.0,Sidewalk: Curb side : Cutout,37.77369183168099,-122.44271140815528,"(37.77369183168099, -122.44271140815529)"
237634,DPW Maintained,Prunus cerasifera :: Cherry Plum,614 Noe St,2.0,Sidewalk: Curb side : Cutout,37.758863015646895,-122.43268837958112,"(37.758863015646895, -122.43268837958112)"
212716,DPW Maintained,Prunus cerasifera :: Cherry Plum,1552 09th Ave,1.0,Sidewalk: Curb side : Cutout,37.75930437230542,-122.46590782869444,"(37.75930437230542, -122.46590782869443)"
212700,DPW Maintained,Prunus cerasifera :: Cherry Plum,1345 05th Ave,1.0,Sidewalk: Curb side : Cutout,37.76337022616724,-122.4620641082748,"(37.76337022616724, -122.46206410827479)"
196207,DPW Maintained,Prunus cerasifera :: Cherry Plum,10 Freelon St,10.0,Sidewalk: Curb side : Cutout,37.779022367025846,-122.39679031682232,"(37.779022367025846, -122.39679031682232)"
237641,DPW Maintained,Prunus cerasifera :: Cherry Plum,3975 20th St,1.0,Sidewalk: Curb side : Cutout,37.757930200122736,-122.42961595460824,"(37.757930200122736, -122.42961595460824)"
46185,Permitted Site,Prunus cerasifera :: Cherry Plum,845 Shrader St,1.0,Sidewalk: Curb side : Cutout,37.7670875169447,-122.45148935294584,"(37.7670875169447, -122.45148935294583)"
236786,DPW Maintained,Prunus cerasifera :: Cherry Plum,355 Surrey St,1.0,Sidewalk: Curb side : Cutout,37.73577679815674,-122.43790801057052,"(37.73577679815674, -122.43790801057052)"
237830,DPW Maintained,Prunus cerasifera :: Cherry Plum,153 Whitney St,1.0,Sidewalk: Curb side : Cutout,37.73906722955588,-122.4274624227532,"(37.73906722955588, -122.42746242275321)"
108917,Undocumented,Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,45 LANGTON ST,3.0,Sidewalk: Curb side : Cutout,37.77730214977845,-122.40879628856854,"(37.77730214977845, -122.40879628856854)"
212915,DPW Maintained,Prunus cerasifera :: Cherry Plum,830 Pacheco St,2.0,Sidewalk: Curb side : Cutout,37.753483121871376,-122.46935112595052,"(37.753483121871376, -122.46935112595051)"
38689,DPW Maintained,Prunus cerasifera :: Cherry Plum,1387 Grove St,1.0,Sidewalk: Curb side : Cutout,37.77569159499455,-122.43940667355704,"(37.77569159499455, -122.43940667355704)"
45190,Permitted Site,Prunus cerasifera :: Cherry Plum,250 Mullen Ave,1.0,Sidewalk: Curb side : Cutout,37.74677599429403,-122.40722171892,"(37.74677599429403, -122.40722171892001)"
213716,DPW Maintained,Prunus blireiana :: Flowering Plum,252 Lobos St,2.0,Sidewalk: Curb side : Cutout,37.71494043801819,-122.46108783483557,"(37.71494043801819, -122.46108783483557)"
213097,DPW Maintained,Prunus cerasifera :: Cherry Plum,240 Maywood Dr,3.0,Sidewalk: Curb side : Cutout,37.73247005213639,-122.4620556636378,"(37.73247005213639, -122.4620556636378)"
33215,Permitted Site,Prunus cerasifera :: Cherry Plum,66 Vasquez Ave,1.0,Sidewalk: Curb side : Cutout,37.74582023645729,-122.45864515806625,"(37.74582023645729, -122.45864515806623)"
218037,DPW Maintained,Prunus cerasifera :: Cherry Plum,2551 14th Ave,1.0,Sidewalk: Curb side : Cutout,37.74047254706847,-122.47012384414924,"(37.74047254706847, -122.47012384414923)"
117638,DPW Maintained,Prunus cerasifera :: Cherry Plum,650 Spruce St,1.0,Sidewalk: Curb side : Cutout,37.78273955815458,-122.4533147665536,"(37.78273955815458, -122.45331476655359)"
237679,DPW Maintained,Prunus cerasifera :: Cherry Plum,445 Church St,2.0,Sidewalk: Curb side : Cutout,37.76375683033756,-122.42848966798566,"(37.763756830337556, -122.42848966798566)"
42058,Permitted Site,Prunus cerasifera :: Cherry Plum,1644 Sanchez St,2.0,Sidewalk: Curb side : Cutout,37.74284561375741,-122.42890360490468,"(37.74284561375741, -122.42890360490469)"
237798,DPW Maintained,Prunus cerasifera :: Cherry Plum,434 Roosevelt Way,2.0,Sidewalk: Curb side : Cutout,37.76422388964654,-122.4431211879883,"(37.76422388964654, -122.4431211879883)"
236414,DPW Maintained,Prunus cerasifera :: Cherry Plum,4925 17th St,2.0,Sidewalk: Curb side : Cutout,37.76147401374436,-122.45100921632118,"(37.76147401374436, -122.45100921632118)"
58133,Permitted Site,Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,311 Lyon St,1.0,Sidewalk: Curb side : Cutout,37.77353051967885,-122.4426775845364,"(37.77353051967885, -122.4426775845364)"
110807,Undocumented,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,2X FREELON ST,3.0,Sidewalk: Curb side : Cutout,37.7790306545162,-122.39718109463156,"(37.7790306545162, -122.39718109463155)"
196249,DPW Maintained,Prunus cerasifera :: Cherry Plum,615 Natoma St,1.0,Sidewalk: Curb side : Cutout,37.778143308514416,-122.41021222893748,"(37.778143308514416, -122.41021222893747)"
236475,DPW Maintained,Prunus cerasifera :: Cherry Plum,760 Moultrie St,1.0,Sidewalk: Curb side : Cutout,37.73525943707688,-122.41619477726628,"(37.735259437076884, -122.41619477726627)"
83377,Permitted Site,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,390 Arlington St,1.0,Sidewalk: Curb side : Cutout,37.7360010286865,-122.42835020948957,"(37.7360010286865, -122.42835020948955)"
118174,DPW Maintained,Prunus blireiana :: Flowering Plum,855 33rd Ave,1.0,Sidewalk: Curb side : Cutout,37.772730846767566,-122.49292955824372,"(37.772730846767566, -122.49292955824372)"
202133,DPW Maintained,Prunus cerasifera :: Cherry Plum,2715 Newhall St,1.0,:,37.728372368582335,-122.3985908683865,"(37.728372368582335, -122.3985908683865)"
123280,DPW Maintained,Prunus cerasifera :: Cherry Plum,531 06th Ave,1.0,Sidewalk: Curb side : Cutout,37.7784551521768,-122.46417504924472,"(37.778455152176804, -122.46417504924472)"
31290,Permitted Site,Prunus cerasifera :: Cherry Plum,2601 18th Ave,4.0,Sidewalk: Curb side : Cutout,37.73931056677169,-122.474450407194,"(37.73931056677169, -122.474450407194)"
235762,DPW Maintained,Prunus cerasifera :: Cherry Plum,1321 San Bruno Ave,2.0,Sidewalk: Curb side : Cutout,37.75281367732009,-122.40425160782652,"(37.75281367732009, -122.40425160782652)"
62306,DPW Maintained,Prunus cerasifera :: Cherry Plum,65 Loraine Ct,1.0,Sidewalk: Curb side : Cutout,37.77982060906205,-122.45698176714512,"(37.77982060906205, -122.45698176714512)"
135854,DPW Maintained,Prunus cerasifera :: Cherry Plum,220 Lombard St,1.0,Sidewalk: Curb side : Cutout,37.80380544512616,-122.40539067653432,"(37.80380544512616, -122.40539067653432)"
256774,DPW Maintained,Prunus cerasifera :: Cherry Plum,10 Bessie St,3.0,Sidewalk: Curb side : Cutout,37.7466111348871,-122.41487465138252,"(37.7466111348871, -122.41487465138253)"
84230,DPW Maintained,Prunus cerasifera :: Cherry Plum,3340 Steiner St,1.0,Sidewalk: Curb side : Cutout,37.800200433554096,-122.43772575033786,"(37.800200433554096, -122.43772575033786)"
42869,DPW Maintained,Prunus cerasifera :: Cherry Plum,2463 32nd Ave,1.0,Sidewalk: Curb side : Cutout,37.741271833428,-122.48962055514336,"(37.741271833427994, -122.48962055514336)"
235950,DPW Maintained,Prunus cerasifera :: Cherry Plum,1602 Treat Ave,1.0,Sidewalk: Curb side : Cutout,37.74478384209571,-122.4124112520819,"(37.74478384209571, -122.4124112520819)"
42060,Permitted Site,Prunus cerasifera :: Cherry Plum,1644 Sanchez St,4.0,Sidewalk: Curb side : Cutout,37.74284561375741,-122.42890360490468,"(37.74284561375741, -122.42890360490469)"
